rank,symbol,inst_id,base,asset_class,inst_category,age_days,turnover_24h,range_24h_pct,abs_return_24h_pct,score,selected_reason
189,EDEN_USDT_SWAP,EDEN-USDT-SWAP,EDEN,crypto,1,248.038,5209131.61272,20.741286,7.198178,15.843736,long_history_crypto_reserve_blocked_crypto
190,BOME_USDT_SWAP,BOME-USDT-SWAP,BOME,crypto,1,659.086,1692627.0564,14.788227,4.979536,15.82974,long_history_crypto_reserve_blocked_crypto
191,ACT_USDT_SWAP,ACT-USDT-SWAP,ACT,crypto,1,568.059,1956634.21671,15.148414,5.967276,15.814208,long_history_crypto_reserve_blocked_crypto
192,PENDLE_USDT_SWAP,PENDLE-USDT-SWAP,PENDLE,crypto,1,261.207,4512199.76,18.307567,9.432572,15.793787,long_history_crypto_reserve_blocked_crypto
193,LAYER_USDT_SWAP,LAYER-USDT-SWAP,LAYER,crypto,1,478.913,1613220.797,13.201821,7.780577,15.601751,long_history_crypto_reserve_blocked_crypto
194,UMA_USDT_SWAP,UMA-USDT-SWAP,UMA,crypto,1,2100.091,439629.8784,11.888298,4.106095,15.545742,long_history_crypto_reserve_blocked_crypto
195,ETHW_USDT_SWAP,ETHW-USDT-SWAP,ETHW,crypto,1,1358.228,1131619.84192,21.697705,9.663537,15.405445,long_history_crypto_reserve_blocked_crypto
196,POPCAT_USDT_SWAP,POPCAT-USDT-SWAP,POPCAT,crypto,1,645.142,1133581.9425,16.292525,6.411089,15.384896,long_history_crypto_reserve_blocked_crypto
197,NEIRO_USDT_SWAP,NEIRO-USDT-SWAP,NEIRO,crypto,1,610.215,1006406.05515,17.776784,4.929877,15.245442,long_history_crypto_reserve_blocked_crypto
198,SPX_USDT_SWAP,SPX-USDT-SWAP,SPX,crypto,1,323.309,1839599.191,18.769772,9.394904,15.183298,long_history_crypto_reserve_blocked_crypto
199,MEW_USDT_SWAP,MEW-USDT-SWAP,MEW,crypto,1,781.166,673682.972,15.42948,8.0,15.06247,long_history_crypto_reserve_blocked_crypto
200,BRETT_USDT_SWAP,BRETT-USDT-SWAP,BRETT,crypto,1,637.09,525819.945,14.020239,5.887446,14.902209,long_history_crypto_reserve_blocked_crypto
