horizon,threshold,signals,signals_per_day,win_pct,avg_net_pct,total_net_pct,avg_prob,symbols
13,0.89,1,0.25,100.0,0.45731182795699116,0.45731182795699116,0.8905532360076904,1
14,0.89,1,0.25,100.0,0.44182795698924376,0.44182795698924376,0.8905532360076904,1
15,0.89,1,0.25,100.0,0.28526881720430397,0.28526881720430397,0.8905532360076904,1
16,0.89,1,0.25,100.0,0.13731182795700417,0.13731182795700417,0.8905532360076904,1
17,0.89,1,0.25,100.0,0.6947311827957106,0.6947311827957106,0.8905532360076904,1
45,0.955,62,15.5,95.16129032258065,3.5911871706124776,222.65360457797362,0.9634767770767212,35
48,0.96,43,10.75,95.34883720930233,3.5723915777897997,153.61283784496138,0.9664097428321838,28
49,0.96,43,10.75,95.34883720930233,3.6422313007246014,156.61594593115785,0.9664097428321838,28
50,0.965,21,5.25,95.23809523809523,4.746129151821878,99.66871218825943,0.970583975315094,14
51,0.96,43,10.75,95.34883720930233,3.747048357429741,161.12307936947886,0.9664097428321838,28
52,0.965,21,5.25,95.23809523809523,4.05156201106657,85.08280223239798,0.970583975315094,14
53,0.975,4,1.0,100.0,2.5516629951196883,10.206651980478753,0.9761313199996948,4
54,0.965,28,7.0,96.42857142857143,4.76702377075084,133.47666558102352,0.9701773524284363,20
55,0.975,4,1.0,100.0,8.77450270656472,35.09801082625888,0.9761313199996948,4
56,0.975,4,1.0,100.0,3.0565623109851643,12.226249243940657,0.9761313199996948,4
57,0.975,4,1.0,100.0,3.3510004359135204,13.404001743654081,0.9761313199996948,4
58,0.97,2,0.5,100.0,2.930558821709267,5.861117643418534,0.973515510559082,2
59,0.97,2,0.5,100.0,2.9933721146110535,5.986744229222107,0.973515510559082,2
60,0.94,82,20.5,95.1219512195122,4.211114101865929,345.3113563530062,0.9509545564651489,43
61,0.97,2,0.5,100.0,2.8060152237143474,5.612030447428695,0.973515510559082,2
62,0.94,82,20.5,95.1219512195122,4.158048370316881,340.95996636598426,0.9509545564651489,43
63,0.97,2,0.5,100.0,7.9629203539823115,15.925840707964623,0.9742342233657837,2
64,0.94,89,22.25,94.3820224719101,3.9699465345564766,353.32524157552643,0.9506731629371643,46
65,0.97,2,0.5,100.0,8.104749262536886,16.209498525073773,0.9742342233657837,2
66,0.97,2,0.5,100.0,6.755014749262539,13.510029498525078,0.9742342233657837,2
67,0.97,2,0.5,100.0,6.022271386430683,12.044542772861366,0.9742342233657837,2
68,0.965,6,1.5,100.0,5.866352114205964,35.198112685235785,0.9707997441291809,4
69,0.97,3,0.75,100.0,11.421455559743992,34.264366679231976,0.9732187390327454,2
70,0.97,3,0.75,100.0,12.932006697501501,38.796020092504506,0.9732187390327454,2
71,0.97,3,0.75,100.0,12.242042777847587,36.72612833354276,0.9732187390327454,2
72,0.97,3,0.75,100.0,12.751813989760285,38.25544196928085,0.9732187390327454,2
73,0.975,1,0.25,100.0,2.327876106194698,2.327876106194698,0.9751689434051514,1
74,0.975,1,0.25,100.0,2.416371681415935,2.416371681415935,0.9751689434051514,1
75,0.97,4,1.0,100.0,10.512729268813114,42.05091707525246,0.9732805490493774,2
76,0.975,1,0.25,100.0,3.212831858407089,3.212831858407089,0.9751689434051514,1
77,0.975,1,0.25,100.0,2.1508849557522245,2.1508849557522245,0.9751689434051514,1
78,0.95,25,6.25,96.0,6.065705518687046,151.64263796717614,0.960676908493042,17
79,0.95,25,6.25,96.0,6.014098009894284,150.3524502473571,0.960676908493042,17
80,0.95,25,6.25,96.0,6.389241251683984,159.7310312920996,0.960676908493042,17
81,0.95,25,6.25,96.0,6.463984773186263,161.59961932965658,0.960676908493042,17
82,0.95,25,6.25,96.0,6.267183348866137,156.67958372165342,0.960676908493042,17
83,0.95,25,6.25,96.0,6.306054989989392,157.6513747497348,0.9594846367835999,17
84,0.95,25,6.25,96.0,6.389241251683984,159.7310312920996,0.9594846367835999,17
85,0.95,25,6.25,96.0,7.211940714576872,180.2985178644218,0.9594846367835999,17
86,0.95,25,6.25,96.0,6.417350943426266,160.43377358565664,0.9594846367835999,17
87,0.95,25,6.25,96.0,6.769667572414291,169.2416893103573,0.9594846367835999,17
103,0.935,35,8.75,97.14285714285714,6.096913356917301,213.39196749210552,0.9473751783370972,21
105,0.935,35,8.75,97.14285714285714,6.555591353201785,229.44569736206248,0.9473751783370972,21
108,0.93,40,10.0,95.0,6.055568199599167,242.22272798396668,0.9438837170600891,24
109,0.93,40,10.0,95.0,6.102305302906145,244.0922121162458,0.9438837170600891,24
110,0.93,40,10.0,95.0,5.829187889344666,233.16751557378663,0.9438837170600891,24
111,0.93,40,10.0,95.0,6.019376381454388,240.77505525817554,0.9438837170600891,24
112,0.93,40,10.0,95.0,5.772332726693032,230.8933090677213,0.9438837170600891,24
115,0.96,7,1.75,100.0,3.837181762506085,26.860272337542597,0.9657363295555115,4
119,0.945,13,3.25,100.0,9.703711786100639,126.1482532193083,0.9564892053604126,4
120,0.935,31,7.75,96.7741935483871,5.830608625144236,180.7488673794713,0.946851909160614,19
